age,arab,children_0_1,children_0_17,children_2_4,children_5_9,children_10_14,children_15_17,highest_cert,lf_char,marital,schooling,week_hours,yeshiva
15,0,0,1,0,0,0,1,1,6,4,10,0,1
16,0,0,1,0,0,0,1,1,6,4,11,0,0
22,0,0,0,0,0,0,0,3,6,4,11,0,1
19,0,0,0,0,0,0,0,2,6,4,14,0,1
16,0,0,1,0,0,0,1,1,6,4,10,0,0
19,0,0,0,0,0,0,0,1,6,4,10,0,0
17,0,0,1,0,0,0,1,1,6,4,6,0,1
18,0,0,0,0,0,0,0,9,6,4,10,0,1
26,0,0,0,0,0,0,0,1,6,4,,0,0
19,0,0,0,0,0,0,0,1,6,4,11,0,1
22,0,0,0,0,0,0,0,1,6,4,12,0,1
24,0,0,0,0,0,0,0,3,6,4,10,0,1
36,0,0,0,0,0,0,0,2,6,2,12,0,1
26,0,0,0,0,0,0,0,9,6,4,12,0,1
16,0,0,1,0,0,0,1,9,6,4,10,0,1
21,0,0,0,0,0,0,0,3,6,4,12,0,1
19,0,0,0,0,0,0,0,3,6,4,11,0,1
17,0,0,1,0,0,0,1,3,6,4,11,0,1
18,0,0,0,0,0,0,0,1,6,4,11,0,1
17,0,0,1,0,0,0,1,1,6,4,11,0,1
32,0,0,0,0,0,0,0,3,6,4,12,0,1
17,0,0,1,0,0,0,1,1,6,4,11,0,1
23,0,0,0,0,0,0,0,1,6,4,11,0,1
18,0,0,0,0,0,0,0,1,6,4,11,0,1
20,0,0,0,0,0,0,0,1,6,4,11,0,1
18,0,0,0,0,0,0,0,2,6,4,11,0,1
16,0,0,1,0,0,0,1,1,6,4,11,0,1
69,0,0,0,0,0,0,0,9,6,4,9,0,1
17,0,0,1,0,0,0,1,1,6,4,11,0,1
21,0,0,0,0,0,0,0,9,6,4,10,0,1
18,0,0,0,0,0,0,0,9,6,4,11,0,1
22,0,0,0,0,0,0,0,1,6,4,11,0,1
17,0,0,1,0,0,0,1,1,6,4,11,0,1
16,0,0,1,0,0,0,1,1,6,4,12,0,1
19,0,0,0,0,0,0,0,1,6,4,11,0,1
16,0,0,1,0,0,0,1,1,6,4,10,0,1
15,0,0,1,0,0,0,1,1,6,4,10,0,1
15,0,0,1,0,0,0,1,1,6,4,9,0,1
15,0,0,1,0,0,0,1,1,6,4,8,0,1
22,0,0,0,0,0,0,0,1,6,4,11,0,1
20,0,0,0,0,0,0,0,1,6,4,11,0,1
16,0,0,1,0,0,0,1,1,6,4,11,0,1
20,0,0,0,0,0,0,0,1,6,4,11,0,1
21,0,0,0,0,0,0,0,9,6,4,9,0,1
15,0,0,1,0,0,0,1,9,6,4,10,0,1
25,0,0,0,0,0,0,0,3,6,4,12,0,1
18,0,0,0,0,0,0,0,9,6,4,12,0,1
20,0,0,0,0,0,0,0,8,6,4,11,0,1
20,0,0,0,0,0,0,0,1,6,4,11,0,1
15,0,0,1,0,0,0,1,1,6,4,11,0,1
21,0,0,0,0,0,0,0,1,6,4,11,0,1
22,0,0,0,0,0,0,0,1,6,4,11,0,1
20,0,0,0,0,0,0,0,1,6,4,12,0,1
18,0,0,0,0,0,0,0,1,6,4,11,0,1
18,0,0,0,0,0,0,0,1,6,4,11,0,1
21,0,0,0,0,0,0,0,1,6,4,11,0,1
17,0,0,1,0,0,0,1,9,6,4,11,0,1
18,0,0,0,0,0,0,0,1,6,4,12,0,1
20,0,0,0,0,0,0,0,9,6,4,11,0,1
16,0,0,1,0,0,0,1,1,6,4,11,0,1
20,0,0,0,0,0,0,0,1,6,4,11,0,1
16,0,0,1,0,0,0,1,1,6,4,11,0,1
21,0,0,0,0,0,0,0,1,6,4,11,0,1
18,0,0,0,0,0,0,0,1,6,4,11,0,1
15,0,0,1,0,0,0,1,1,6,4,8,0,1
18,0,0,0,0,0,0,0,1,6,4,10,0,1
15,0,0,1,0,0,0,1,1,6,4,11,0,1
19,0,0,0,0,0,0,0,1,6,4,12,0,1
15,0,0,1,0,0,0,1,1,6,4,11,0,1
15,0,0,1,0,0,0,1,1,6,4,10,0,1
15,0,0,1,0,0,0,1,1,6,4,10,0,1
15,0,0,1,0,0,0,1,1,6,4,11,0,1
74,0,0,0,0,0,0,0,2,6,4,12,0,1
17,0,0,1,0,0,0,1,1,6,4,11,0,1
15,0,0,1,0,0,0,1,9,6,4,11,0,1
18,0,0,0,0,0,0,0,9,6,4,9,0,1
85,0,0,0,0,0,0,0,9,6,4,5,0,0
85,0,0,0,0,0,0,0,1,6,3,12,0,0
58,0,0,0,0,0,0,0,1,6,3,8,0,0
83,0,0,0,0,0,0,0,9,6,3,6,0,0
84,0,0,0,0,0,0,0,1,6,1,9,0,0
84,0,0,0,0,0,0,0,9,6,1,12,0,1
77,0,0,0,0,0,0,0,9,6,1,,0,0
76,0,0,0,0,0,0,0,9,6,1,5,0,0
24,0,1,1,0,0,0,0,1,6,1,15,0,1
25,0,2,2,0,0,0,0,4,6,1,14,0,1
30,0,1,5,2,2,0,0,3,6,1,12,0,0
76,0,0,0,0,0,0,0,1,6,1,7,0,0
28,0,1,3,2,0,0,0,3,6,1,17,0,1
53,0,0,1,0,0,1,0,2,6,1,30,0,1
25,0,1,2,1,0,0,0,2,6,1,18,0,1
85,0,0,0,0,0,0,0,3,6,1,16,0,0
33,0,1,6,1,4,0,0,1,6,1,17,0,1
21,0,0,0,0,0,0,0,2,6,1,14,0,0
62,0,0,0,0,0,0,0,9,6,1,17,0,1
40,0,0,6,2,0,1,3,2,6,1,,0,1
46,0,0,6,0,2,3,1,2,6,1,15,0,1
20,0,0,6,0,2,3,1,2,6,4,14,0,1
32,0,1,5,1,3,0,0,1,6,1,15,0,1
50,0,0,3,0,1,0,2,2,6,1,25,0,1
16,0,0,3,0,1,0,2,1,6,4,11,0,0
36,0,1,7,1,3,2,0,2,6,1,30,0,1
67,0,0,0,0,0,0,0,9,6,1,16,0,1
29,0,0,3,1,2,0,0,9,6,1,16,0,1
51,0,0,0,0,0,0,0,4,6,2,14,0,0
21,0,0,0,0,0,0,0,2,6,1,14,0,1
45,0,0,6,1,1,2,2,1,6,1,19,0,1
17,0,0,6,1,1,2,2,1,6,4,12,0,0
15,0,0,6,1,1,2,2,1,6,4,10,0,0
20,0,0,0,0,0,0,0,2,5,4,14,0,0
48,0,0,6,1,2,3,0,1,6,1,15,0,1
25,0,1,2,1,0,0,0,1,6,1,15,0,1
36,0,0,6,1,2,3,0,1,6,1,16,0,1
42,0,0,0,0,0,0,0,1,6,2,10,0,0
23,0,0,0,0,0,0,0,1,6,1,16,0,1
18,0,1,1,0,0,0,0,1,6,1,12,0,1
23,0,0,0,0,0,0,0,1,6,1,16,0,1
16,0,0,6,0,1,2,3,1,6,4,11,0,0
15,0,0,6,0,1,2,3,1,6,4,10,0,0
45,0,1,9,1,3,3,1,1,6,1,18,0,1
51,0,0,2,0,0,2,0,1,6,1,18,0,1
20,0,0,2,0,0,2,0,1,6,4,14,0,1
65,0,0,0,0,0,0,0,1,6,1,15,0,1
20,0,0,0,0,0,0,0,1,6,4,14,0,1
31,0,1,7,1,4,1,0,1,6,1,13,0,1
31,0,1,8,2,4,1,0,1,6,1,13,0,1
56,0,0,1,0,0,0,1,1,6,1,14,0,1
16,0,0,8,1,3,2,2,1,6,4,11,0,0
33,0,1,4,1,1,1,0,1,6,1,16,0,1
24,0,1,1,0,0,0,0,1,5,1,18,0,1
36,0,0,3,0,3,0,0,1,6,1,20,0,1
41,0,0,5,0,2,2,1,5,6,1,20,0,0
82,0,0,0,0,0,0,0,9,6,1,3,0,0
17,0,0,2,0,0,1,1,1,6,4,8,0,0
54,0,0,0,0,0,0,0,2,6,2,12,0,0
55,0,0,0,0,0,0,0,2,6,2,12,0,0
19,0,0,2,1,0,1,0,3,6,4,12,0,0
58,0,0,0,0,0,0,0,6,5,1,16,0,0
20,0,0,1,0,0,1,0,2,6,4,13,0,0
68,0,0,0,0,0,0,0,2,6,1,10,0,0
76,0,0,0,0,0,0,0,6,6,1,16,0,0
75,0,0,0,0,0,0,0,1,6,1,8,0,0
79,0,0,0,0,0,0,0,1,6,3,8,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
74,0,0,0,0,0,0,0,0,6,1,0,0,0
68,0,0,0,0,0,0,0,1,6,1,8,0,0
19,0,0,1,0,1,0,0,2,6,4,12,0,0
84,0,0,0,0,0,0,0,,6,3,,0,0
80,0,0,0,0,0,0,0,6,6,1,17,0,0
74,0,0,0,0,0,0,0,0,6,3,0,0,0
31,0,0,0,0,0,0,0,3,6,4,12,0,0
21,0,0,1,0,0,1,0,1,5,4,10,0,0
18,0,0,1,0,0,1,0,3,6,4,12,0,0
85,0,0,0,0,0,0,0,4,6,3,15,0,0
26,0,0,3,0,0,2,1,3,6,4,16,0,1
17,0,0,3,0,0,2,1,1,6,4,12,0,0
70,0,0,0,0,0,0,0,3,6,1,10,0,0
75,0,0,0,0,0,0,0,2,6,1,12,0,0
74,0,0,0,0,0,0,0,9,6,2,3,0,0
70,0,0,0,0,0,0,0,1,6,1,,0,0
80,0,0,0,0,0,0,0,1,6,1,11,0,0
69,0,0,0,0,0,0,0,6,6,1,19,0,0
84,0,0,0,0,0,0,0,1,6,1,9,0,0
85,0,0,0,0,0,0,0,1,6,1,8,0,0
79,0,0,0,0,0,0,0,4,6,1,15,0,0
79,0,0,0,0,0,0,0,3,6,1,15,0,0
35,0,1,4,2,1,0,0,3,6,1,12,0,0
69,0,0,0,0,0,0,0,1,6,3,6,0,0
50,0,0,0,0,0,0,0,6,6,4,15,0,0
18,0,0,0,0,0,0,0,9,6,4,11,0,1
15,0,0,1,0,0,0,1,9,6,4,11,0,1
16,0,0,1,0,0,0,1,9,6,4,11,0,1
85,0,0,0,0,0,0,0,9,6,3,7,0,0
85,0,0,0,0,0,0,0,2,6,3,12,0,0
48,0,0,0,0,0,0,0,1,6,2,8,0,0
16,0,0,1,0,0,0,1,9,6,4,8,0,0
29,0,0,0,0,0,0,0,1,6,4,8,0,1
22,0,0,0,0,0,0,0,1,6,4,10,0,0
60,0,0,0,0,0,0,0,9,6,4,3,0,0
76,0,0,0,0,0,0,0,0,6,4,0,0,0
38,0,0,0,0,0,0,0,1,6,4,11,0,0
69,1,0,0,0,0,0,0,2,6,2,12,0,0
58,0,0,0,0,0,0,0,1,6,4,7,0,0
57,0,0,0,0,0,0,0,6,6,2,15,0,0
54,0,0,0,0,0,0,0,0,6,4,0,0,0
40,1,0,0,0,0,0,0,1,6,4,10,0,0
51,0,0,0,0,0,0,0,9,6,2,5,0,0
60,0,0,0,0,0,0,0,6,6,2,16,0,0
85,0,0,0,0,0,0,0,3,6,3,12,0,0
29,0,0,0,0,0,0,0,9,6,4,7,0,0
56,0,0,0,0,0,0,0,0,6,1,0,0,0
66,0,0,0,0,0,0,0,0,6,1,0,0,0
20,0,0,0,0,0,0,0,1,6,4,12,0,0
55,0,0,0,0,0,0,0,6,6,2,17,0,0
85,0,0,0,0,0,0,0,6,6,3,16,0,0
75,0,0,0,0,0,0,0,1,6,1,8,0,0
85,0,0,0,0,0,0,0,4,6,1,12,0,0
78,0,0,0,0,0,0,0,0,6,1,0,0,0
23,0,0,0,0,0,0,0,2,6,4,12,0,0
68,0,0,0,0,0,0,0,4,6,1,14,0,0
62,0,0,0,0,0,0,0,3,6,1,11,0,0
23,0,0,0,0,0,0,0,3,6,4,13,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
64,0,0,0,0,0,0,0,1,6,1,,0,0
71,0,0,0,0,0,0,0,6,6,4,16,0,0
72,0,0,0,0,0,0,0,1,6,1,5,0,0
67,0,0,0,0,0,0,0,1,6,3,8,0,0
85,0,0,0,0,0,0,0,9,6,3,5,0,0
27,0,0,0,0,0,0,0,3,6,4,13,0,0
15,0,0,3,0,0,2,1,1,6,4,10,0,0
66,0,0,0,0,0,0,0,6,6,1,18,0,0
85,0,0,0,0,0,0,0,6,6,3,15,0,0
71,0,0,0,0,0,0,0,3,6,3,12,0,0
43,0,0,0,0,0,0,0,5,6,4,15,0,0
68,0,0,0,0,0,0,0,3,6,1,10,0,0
73,0,0,0,0,0,0,0,1,6,2,8,0,0
74,0,0,0,0,0,0,0,3,6,1,11,0,0
62,0,0,0,0,0,0,0,1,6,1,8,0,0
55,0,0,1,0,0,1,0,2,6,1,12,0,0
68,0,0,0,0,0,0,0,1,6,3,8,0,0
66,0,0,0,0,0,0,0,2,6,1,12,0,0
85,0,0,0,0,0,0,0,1,6,3,4,0,0
62,0,0,0,0,0,0,0,6,6,1,15,0,0
77,0,0,0,0,0,0,0,2,6,1,12,0,0
22,0,0,0,0,0,0,0,1,6,4,7,0,0
85,0,0,0,0,0,0,0,1,6,3,8,0,0
85,0,0,0,0,0,0,0,6,6,1,16,0,0
71,0,0,0,0,0,0,0,6,6,1,15,0,0
80,0,0,0,0,0,0,0,9,6,1,2,0,0
40,0,0,1,0,0,0,1,4,6,1,13,0,0
20,0,0,1,0,0,0,1,2,6,4,12,0,0
15,0,0,1,0,0,0,1,1,6,4,9,0,0
61,0,0,1,1,0,0,0,3,6,1,12,0,0
76,0,0,0,0,0,0,0,2,6,1,12,0,0
58,0,0,1,0,0,0,1,3,6,1,12,0,0
16,0,0,1,0,0,0,1,1,6,4,10,0,0
42,0,0,2,0,1,0,1,1,6,1,11,0,0
20,0,0,2,0,1,0,1,1,6,4,11,0,0
54,0,0,0,0,0,0,0,6,5,2,19,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
15,0,0,2,0,0,0,2,1,6,4,9,0,0
77,0,0,0,0,0,0,0,5,6,1,17,0,0
60,0,0,0,0,0,0,0,3,6,1,15,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
61,0,0,0,0,0,0,0,1,6,1,8,0,0
57,0,0,0,0,0,0,0,1,6,2,11,0,0
17,0,0,1,0,0,0,1,1,6,4,11,0,0
67,0,0,0,0,0,0,0,2,6,1,12,0,0
15,0,0,1,0,0,0,1,1,6,4,9,0,0
20,0,0,1,0,0,1,0,3,6,4,12,0,0
19,0,0,1,0,0,1,0,3,6,4,13,0,0
85,0,0,0,0,0,0,0,9,6,3,8,0,0
85,0,0,0,0,0,0,0,1,6,3,7,0,1
83,0,0,0,0,0,0,0,1,6,1,12,0,0
85,0,0,0,0,0,0,0,9,6,3,8,0,0
80,0,0,0,0,0,0,0,1,6,3,8,0,0
82,0,0,0,0,0,0,0,9,6,3,8,0,0
19,0,0,0,0,0,0,0,3,6,4,13,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
18,0,0,1,0,0,0,1,3,6,4,12,0,0
15,0,0,1,0,0,0,1,2,6,4,11,0,0
73,0,0,0,0,0,0,0,2,6,1,12,0,0
83,0,0,0,0,0,0,0,3,6,1,12,0,0
64,0,0,0,0,0,0,0,3,6,1,12,0,0
85,0,0,0,0,0,0,0,3,6,1,12,0,0
80,0,0,0,0,0,0,0,4,6,1,15,0,0
79,0,0,0,0,0,0,0,1,6,1,8,0,0
40,0,0,0,0,0,0,0,2,6,4,12,0,0
74,0,0,2,0,1,1,0,3,6,5,12,0,0
70,0,0,0,0,0,0,0,4,6,1,14,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
17,0,0,3,0,0,2,1,1,6,4,12,0,0
76,0,0,0,0,0,0,0,4,6,3,15,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
38,0,0,0,0,0,0,0,2,6,2,12,0,0
69,0,0,0,0,0,0,0,1,6,1,8,0,0
19,0,0,0,0,0,0,0,2,6,4,14,0,1
16,0,0,2,0,0,0,2,1,6,4,11,0,0
18,0,0,0,0,0,0,0,2,6,4,12,0,0
84,0,0,0,0,0,0,0,5,6,1,16,0,0
71,0,0,0,0,0,0,0,2,6,1,12,0,0
31,0,0,0,0,0,0,0,5,6,4,19,0,0
85,0,0,0,0,0,0,0,1,6,1,8,0,0
65,0,0,0,0,0,0,0,4,6,1,14,0,0
77,0,0,0,0,0,0,0,3,6,2,12,0,0
16,0,0,1,0,0,0,1,2,6,4,11,0,0
41,0,0,0,0,0,0,0,9,6,4,10,0,0
47,0,0,0,0,0,0,0,9,6,4,8,0,0
77,0,0,0,0,0,0,0,3,6,1,12,0,0
85,0,0,0,0,0,0,0,8,6,3,12,0,1
69,0,0,0,0,0,0,0,3,6,2,12,0,0
85,0,0,0,0,0,0,0,1,6,1,8,0,0
68,0,0,0,0,0,0,0,7,6,1,18,0,0
18,0,0,1,0,0,0,1,3,6,4,12,0,0
15,0,0,1,0,0,0,1,9,6,4,9,0,0
21,0,0,4,1,0,2,1,3,5,4,13,0,0
17,0,0,4,1,0,2,1,1,6,4,12,0,0
28,0,0,0,0,0,0,0,3,6,4,15,0,0
61,0,0,0,0,0,0,0,4,6,1,14,0,0
85,0,0,0,0,0,0,0,2,6,3,12,0,0
78,0,0,0,0,0,0,0,4,6,1,14,0,0
21,0,0,1,0,0,1,0,3,6,4,12,0,0
18,0,0,1,0,0,1,0,3,6,4,12,0,0
72,0,1,2,1,0,0,0,4,6,1,14,0,0
21,0,0,2,0,1,0,1,3,6,4,12,0,0
21,0,0,1,0,0,1,0,3,6,4,12,0,0
81,0,0,0,0,0,0,0,1,6,1,10,0,0
79,0,0,0,0,0,0,0,1,6,1,9,0,0
72,0,0,0,0,0,0,0,2,6,1,11,0,0
44,0,0,2,0,0,1,1,1,5,1,7,0,0
61,0,0,0,0,0,0,0,3,6,4,12,0,0
78,0,0,0,0,0,0,0,2,6,1,12,0,0
20,0,0,0,0,0,0,0,2,6,4,12,0,0
67,0,0,0,0,0,0,0,3,6,1,12,0,0
59,0,0,0,0,0,0,0,2,6,4,12,0,0
22,0,0,0,0,0,0,0,3,5,4,12,0,0
19,0,0,1,0,0,1,0,3,6,4,12,0,0
66,0,0,0,0,0,0,0,1,6,1,8,0,0
72,0,0,0,0,0,0,0,6,6,2,16,0,0
29,0,0,0,0,0,0,0,5,6,4,17,0,0
16,0,0,2,0,0,1,1,1,6,4,11,0,0
20,0,0,1,0,0,1,0,3,6,4,12,0,0
16,0,0,4,0,0,2,2,1,6,4,10,0,0
61,0,0,0,0,0,0,0,2,6,1,10,0,0
69,0,0,0,0,0,0,0,5,6,1,15,0,0
66,0,0,0,0,0,0,0,5,6,1,15,0,0
64,0,2,2,0,0,0,0,4,6,1,14,0,0
25,0,2,2,0,0,0,0,3,6,4,13,0,0
20,0,0,2,0,0,1,1,3,6,4,12,0,0
16,0,0,2,0,0,1,1,1,6,4,10,0,0
19,0,0,0,0,0,0,0,3,6,4,12,0,0
59,0,0,0,0,0,0,0,3,6,1,12,0,0
15,0,0,3,1,0,1,1,1,6,4,10,0,0
64,0,0,0,0,0,0,0,9,6,1,5,0,0
85,0,0,0,0,0,0,0,9,6,3,3,0,0
65,0,0,0,0,0,0,0,0,6,1,0,0,0
16,0,0,3,0,0,1,2,1,6,4,10,0,0
22,0,0,2,0,0,0,2,1,6,4,8,0,0
16,0,0,2,0,0,0,2,1,6,4,10,0,0
17,0,0,1,0,0,0,1,1,6,4,12,0,0
18,0,0,0,0,0,0,0,1,6,4,,0,0
34,0,0,0,0,0,0,0,9,6,4,8,0,0
49,0,0,0,0,0,0,0,9,6,4,8,0,0
61,0,0,0,0,0,0,0,0,6,4,0,0,0
39,0,0,0,0,0,0,0,5,6,4,16,0,0
73,0,0,0,0,0,0,0,6,6,1,18,0,0
59,0,0,0,0,0,0,0,9,6,4,10,0,0
62,0,0,0,0,0,0,0,4,6,1,13,0,0
78,0,0,0,0,0,0,0,4,6,3,14,0,0
29,0,0,4,2,2,0,0,1,6,1,16,0,1
62,0,0,0,0,0,0,0,4,6,1,16,0,0
16,0,0,4,1,1,0,2,1,6,4,11,0,0
66,0,0,0,0,0,0,0,4,6,1,18,0,0
75,0,0,0,0,0,0,0,4,6,1,12,0,0
85,0,0,0,0,0,0,0,1,6,1,8,0,0
85,0,0,0,0,0,0,0,4,6,5,11,0,0
53,0,0,0,0,0,0,0,1,6,1,10,0,0
24,0,0,0,0,0,0,0,2,6,4,12,0,0
18,0,0,0,0,0,0,0,1,6,4,12,0,0
20,0,0,1,0,1,0,0,2,6,4,12,0,0
50,0,0,2,0,1,0,1,4,6,1,15,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
31,0,0,0,0,0,0,0,3,6,4,11,0,0
85,0,0,0,0,0,0,0,0,6,3,0,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
77,0,0,0,0,0,0,0,2,6,3,15,0,1
85,0,0,0,0,0,0,0,0,6,1,0,0,0
72,0,0,0,0,0,0,0,3,6,1,12,0,0
22,0,0,1,0,0,0,1,4,6,4,13,0,0
84,0,0,0,0,0,0,0,3,6,3,12,0,0
71,0,0,0,0,0,0,0,4,6,2,13,0,0
16,0,0,2,0,0,0,2,1,6,4,10,0,0
22,0,0,0,0,0,0,0,0,6,4,0,0,0
74,0,0,0,0,0,0,0,4,6,1,15,0,0
62,0,0,0,0,0,0,0,2,6,1,11,0,0
80,0,0,0,0,0,0,0,1,6,1,1,0,0
30,0,0,0,0,0,0,0,2,6,4,12,0,0
41,0,0,0,0,0,0,0,1,6,4,10,0,0
15,0,0,1,0,0,0,1,1,6,4,11,0,0
25,0,0,0,0,0,0,0,3,6,4,15,0,0
15,0,0,2,0,0,1,1,1,6,4,10,0,0
75,0,0,0,0,0,0,0,6,6,1,15,0,0
78,0,0,0,0,0,0,0,1,6,1,7,0,0
36,0,0,0,0,0,0,0,1,6,4,10,0,0
19,0,0,0,0,0,0,0,2,6,4,14,0,1
18,0,0,0,0,0,0,0,2,6,4,13,0,1
68,0,0,0,0,0,0,0,5,6,1,16,0,0
23,0,0,0,0,0,0,0,5,6,4,16,0,0
79,0,0,0,0,0,0,0,1,6,1,9,0,0
78,0,0,0,0,0,0,0,2,6,1,11,0,0
85,0,0,0,0,0,0,0,9,6,3,5,0,0
30,0,0,0,0,0,0,0,1,6,4,8,0,0
57,0,0,0,0,0,0,0,6,6,2,15,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
20,0,0,0,0,0,0,0,3,6,4,13,0,0
20,0,0,1,0,0,0,1,5,6,4,13,0,0
15,0,0,1,0,0,0,1,1,6,4,9,0,0
85,0,0,0,0,0,0,0,1,6,3,7,0,0
15,0,0,1,0,0,0,1,1,6,4,10,0,0
19,0,0,1,0,0,0,1,2,6,4,12,0,0
16,0,0,1,0,0,0,1,1,6,4,11,0,0
17,0,0,2,0,0,1,1,1,6,4,11,0,0
32,0,2,5,0,3,0,0,2,6,1,12,0,0
64,0,0,0,0,0,0,0,1,6,1,11,0,0
16,0,0,2,0,0,0,2,1,6,4,11,0,0
16,0,0,2,0,0,0,2,1,6,4,11,0,0
17,0,0,3,0,0,2,1,9,6,4,11,0,0
39,0,0,3,0,0,2,1,1,6,1,10,0,0
83,0,0,0,0,0,0,0,6,6,3,18,0,0
22,0,0,1,0,0,0,1,3,6,4,15,0,1
20,0,0,1,0,0,0,1,3,6,4,13,0,1
82,0,0,0,0,0,0,0,2,6,1,12,0,0
70,0,0,0,0,0,0,0,6,6,3,16,0,0
61,0,0,0,0,0,0,0,1,6,2,8,0,0
77,0,0,0,0,0,0,0,9,6,2,5,0,0
66,0,0,0,0,0,0,0,0,6,1,0,0,0
70,0,0,0,0,0,0,0,1,6,1,6,0,0
24,0,0,1,0,0,1,0,3,6,4,14,0,0
15,0,0,2,0,0,1,1,1,6,4,10,0,0
22,0,0,0,0,0,0,0,2,6,4,12,0,0
73,0,0,0,0,0,0,0,3,6,1,12,0,0
62,0,0,0,0,0,0,0,3,6,1,12,0,0
30,0,0,0,0,0,0,0,9,6,4,3,0,0
17,0,0,1,0,0,0,1,0,6,4,0,0,0
23,0,0,0,0,0,0,0,9,6,4,5,0,0
81,0,0,0,0,0,0,0,4,6,3,12,0,0
78,0,0,0,0,0,0,0,8,6,3,12,0,0
85,0,0,0,0,0,0,0,9,6,3,8,0,0
76,0,0,0,0,0,0,0,9,6,1,5,0,0
79,0,0,0,0,0,0,0,9,6,1,,0,0
75,0,0,0,0,0,0,0,1,6,4,8,0,0
64,0,0,0,0,0,0,0,1,6,2,11,0,0
62,0,0,0,0,0,0,0,5,5,4,15,0,0
75,0,0,0,0,0,0,0,1,6,1,10,0,0
77,0,0,0,0,0,0,0,9,6,2,7,0,0
71,0,0,0,0,0,0,0,2,6,1,12,0,0
78,0,0,0,0,0,0,0,1,6,1,8,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
64,0,0,0,0,0,0,0,1,6,1,10,0,0
76,0,0,1,0,0,0,1,1,6,1,11,0,0
16,0,0,1,0,0,0,1,1,6,4,10,0,0
71,0,0,0,0,0,0,0,1,6,1,8,0,0
21,0,0,1,0,1,0,0,3,6,4,12,0,0
82,0,0,0,0,0,0,0,1,6,1,9,0,0
66,0,0,0,0,0,0,0,5,6,1,16,0,0
75,0,0,0,0,0,0,0,4,6,3,15,0,0
79,0,0,0,0,0,0,0,3,6,1,12,0,0
59,0,0,0,0,0,0,0,5,6,1,15,0,0
48,0,0,3,0,1,1,1,5,5,1,15,0,0
65,0,0,0,0,0,0,0,3,6,1,14,0,0
20,0,0,1,0,0,1,0,2,6,4,12,0,0
71,0,0,0,0,0,0,0,1,6,1,8,0,0
79,0,0,0,0,0,0,0,1,6,1,6,0,0
77,0,0,0,0,0,0,0,2,6,1,12,0,0
85,0,0,0,0,0,0,0,1,6,1,10,0,0
75,0,0,0,0,0,0,0,2,6,1,12,0,0
62,0,0,0,0,0,0,0,1,6,1,8,0,0
85,0,0,0,0,0,0,0,4,6,1,12,0,0
73,0,0,0,0,0,0,0,1,6,1,8,0,0
47,0,0,0,0,0,0,0,0,6,4,0,0,0
83,0,0,0,0,0,0,0,3,6,1,10,0,0
19,0,0,1,0,1,0,0,3,6,4,13,0,0
70,0,0,0,0,0,0,0,5,6,3,16,0,0
61,0,0,0,0,0,0,0,1,6,1,8,0,0
83,0,0,0,0,0,0,0,2,6,1,12,0,0
78,0,0,0,0,0,0,0,0,6,1,0,0,0
20,0,0,0,0,0,0,0,3,6,4,12,0,0
17,0,0,2,0,0,1,1,1,6,4,12,0,0
28,0,0,0,0,0,0,0,6,5,4,17,0,0
65,0,0,0,0,0,0,0,1,6,1,11,0,0
44,0,0,3,0,0,2,1,3,5,1,12,0,0
20,0,0,0,0,0,0,0,2,6,4,13,0,0
68,0,0,0,0,0,0,0,2,6,1,12,0,0
56,0,0,0,0,0,0,0,9,6,1,4,0,0
79,0,0,0,0,0,0,0,9,6,1,5,0,0
69,0,0,0,0,0,0,0,1,6,1,10,0,0
82,0,0,0,0,0,0,0,1,6,1,8,0,0
29,0,2,2,0,0,0,0,2,6,1,16,0,1
77,0,0,0,0,0,0,0,9,6,1,4,0,0
80,0,0,0,0,0,0,0,1,6,1,10,0,0
68,0,0,0,0,0,0,0,6,6,1,19,0,0
64,0,0,0,0,0,0,0,1,6,4,8,0,0
20,0,0,1,0,0,0,1,3,6,4,12,0,0
75,0,0,0,0,0,0,0,1,6,1,8,0,0
17,0,0,3,0,1,0,2,1,6,4,11,0,0
15,0,0,3,0,1,0,2,1,6,4,9,0,0
33,0,0,0,0,0,0,0,5,5,4,16,0,0
66,0,0,0,0,0,0,0,4,6,1,14,0,0
85,0,0,0,0,0,0,0,9,6,1,4,0,0
58,0,0,0,0,0,0,0,1,6,1,8,0,0
29,0,0,0,0,0,0,0,1,5,2,8,0,0
69,0,0,0,0,0,0,0,2,6,1,12,0,0
16,0,0,3,1,0,1,1,1,6,4,9,0,0
65,0,0,0,0,0,0,0,9,6,3,3,0,0
21,0,0,0,0,0,0,0,3,6,4,12,0,0
85,0,0,0,0,0,0,0,5,6,1,14,0,0
